[2025-07-07 12:24:33] SECTION: 
==================================================
CATEGORY COMPRESSION PROCESS STARTED
==================================================
[2025-07-07 12:24:33] INFO: Process configuration | Context: batch_size=10, dry_run=False, model=gpt-4.1
[2025-07-07 12:25:32] INFO: Saving compressed description to NEW field | Context: category=interestRateInput, action=adding_compressed_description_field
[2025-07-07 12:25:34] SUCCESS: ✅ Database updated with compressed description | Context: category=interestRateInput, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:34] INFO: Processing batch | Context: batch_num=3, total_batches=17, batch_size=10
[2025-07-07 12:25:34] INFO: Compressing category | Context: category=macroeconomicVariableInput, original_words=39, original_preview=The input macroeconomic variable data which contains historic returns and forecast values by scenari..., display_name=Macroeconomic Variable Input
[2025-07-07 12:25:34] SUCCESS: ✅ Successfully compressed category | Context: category=macroeconomicVariableInput, original_words=39, compressed_words=28, reduction=28.2%, compressed_preview=Historic returns and forecast values for each macroeconomic variable by scenario and as of date. Pri...
[2025-07-07 12:25:34] INFO: Saving compressed description to NEW field | Context: category=macroeconomicVariableInput, action=adding_compressed_description_field
[2025-07-07 12:25:36] SUCCESS: ✅ Database updated with compressed description | Context: category=macroeconomicVariableInput, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:36] INFO: Compressing category | Context: category=gcorrSmoothingCoefficientPD, original_words=27, original_preview=The coefficients for the smoothing function that is applied when using the GCorr Macro model for gen..., display_name=GCorr Smoothing Coefficient PD
[2025-07-07 12:25:37] SUCCESS: ✅ Successfully compressed category | Context: category=gcorrSmoothingCoefficientPD, original_words=27, compressed_words=21, reduction=22.2%, compressed_preview=Coefficients for the smoothing function in the GCorr Macro model when generating Probability of Defa...
[2025-07-07 12:25:37] INFO: Saving compressed description to NEW field | Context: category=gcorrSmoothingCoefficientPD, action=adding_compressed_description_field
[2025-07-07 12:25:38] SUCCESS: ✅ Database updated with compressed description | Context: category=gcorrSmoothingCoefficientPD, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:38] INFO: Compressing category | Context: category=countryGroupMapping, original_words=17, original_preview=The mapping of the ISO 3 country code to a group identifier and a Moody's Analytics region...., display_name=Country Group Mapping
[2025-07-07 12:25:39] SUCCESS: ✅ Successfully compressed category | Context: category=countryGroupMapping, original_words=17, compressed_words=12, reduction=29.4%, compressed_preview=Maps ISO 3 country code to group identifier and Moody's Analytics region....
[2025-07-07 12:25:39] INFO: Saving compressed description to NEW field | Context: category=countryGroupMapping, action=adding_compressed_description_field
[2025-07-07 12:25:41] SUCCESS: ✅ Database updated with compressed description | Context: category=countryGroupMapping, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:41] INFO: Compressing category | Context: category=ratingToPITPDConverterModelParameter, original_words=21, original_preview=The parameters for the through the cycle (TTC) to point in time (PIT) model conversion. Data is impo..., display_name=Rating to PIT PD Converter Model Parameter
[2025-07-07 12:25:41] SUCCESS: ✅ Successfully compressed category | Context: category=ratingToPITPDConverterModelParameter, original_words=21, compressed_words=15, reduction=28.6%, compressed_preview=Parameters for through the cycle (TTC) to point in time (PIT) model conversion, imported monthly....
[2025-07-07 12:25:41] INFO: Saving compressed description to NEW field | Context: category=ratingToPITPDConverterModelParameter, action=adding_compressed_description_field
[2025-07-07 12:25:43] SUCCESS: ✅ Database updated with compressed description | Context: category=ratingToPITPDConverterModelParameter, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:43] INFO: Compressing category | Context: category=adjustment, original_words=10, original_preview=Contains the details of the adjustments applied to the results...., display_name=Adjustment
[2025-07-07 12:25:44] SUCCESS: ✅ Successfully compressed category | Context: category=adjustment, original_words=10, compressed_words=6, reduction=40.0%, compressed_preview=Details of adjustments applied to results....
[2025-07-07 12:25:44] INFO: Saving compressed description to NEW field | Context: category=adjustment, action=adding_compressed_description_field
[2025-07-07 12:25:46] SUCCESS: ✅ Database updated with compressed description | Context: category=adjustment, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:46] INFO: Compressing category | Context: category=collateralPoolCashFlow, original_words=46, original_preview=This category describes collateral pool cashflows that can be imported and used for calculation and ..., display_name=Collateral Pool Cash Flow
[2025-07-07 12:25:46] SUCCESS: ✅ Successfully compressed category | Context: category=collateralPoolCashFlow, original_words=46, compressed_words=27, reduction=41.3%, compressed_preview=Describes collateral pool cashflows for import, calculation, and reporting by portfolio, as of date,...
[2025-07-07 12:25:46] INFO: Saving compressed description to NEW field | Context: category=collateralPoolCashFlow, action=adding_compressed_description_field
[2025-07-07 12:25:47] SUCCESS: ✅ Database updated with compressed description | Context: category=collateralPoolCashFlow, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:47] INFO: Compressing category | Context: category=segmentReference, original_words=29, original_preview=This category describes segment-level dimensions and aggregated measures. Data is imported for each ..., display_name=Segment Reference
[2025-07-07 12:25:48] SUCCESS: ✅ Successfully compressed category | Context: category=segmentReference, original_words=29, compressed_words=21, reduction=27.6%, compressed_preview=Describes segment-level dimensions and aggregated measures. Data imported per model and as of date. ...
[2025-07-07 12:25:48] INFO: Saving compressed description to NEW field | Context: category=segmentReference, action=adding_compressed_description_field
[2025-07-07 12:25:50] SUCCESS: ✅ Database updated with compressed description | Context: category=segmentReference, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:50] INFO: Compressing category | Context: category=capAnalytic, original_words=10, original_preview=This category contains attributes for Analytics Hub default analytic template...., display_name=Default
[2025-07-07 12:25:50] SUCCESS: ✅ Successfully compressed category | Context: category=capAnalytic, original_words=10, compressed_words=7, reduction=30.0%, compressed_preview=Attributes for Analytics Hub default analytic template....
[2025-07-07 12:25:50] INFO: Saving compressed description to NEW field | Context: category=capAnalytic, action=adding_compressed_description_field
[2025-07-07 12:25:52] SUCCESS: ✅ Database updated with compressed description | Context: category=capAnalytic, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:52] INFO: Compressing category | Context: category=gcorrPrivateFirmRsquaredCoefficient, original_words=11, original_preview=The coefficients used for to determine the r-squared for private firms...., display_name=GCorr Private Firm R-squared Coefficient
[2025-07-07 12:25:52] SUCCESS: ✅ Successfully compressed category | Context: category=gcorrPrivateFirmRsquaredCoefficient, original_words=11, compressed_words=10, reduction=9.1%, compressed_preview=Coefficients for calculating r-squared (coefficient of determination) for private firms....
[2025-07-07 12:25:52] INFO: Saving compressed description to NEW field | Context: category=gcorrPrivateFirmRsquaredCoefficient, action=adding_compressed_description_field
[2025-07-07 12:25:54] SUCCESS: ✅ Database updated with compressed description | Context: category=gcorrPrivateFirmRsquaredCoefficient, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:54] INFO: Compressing category | Context: category=gcorrFactorWeightPublicFirm, original_words=8, original_preview=The GCorr factor weights for the public firms...., display_name=GCorr Factor Weight Public Firm
[2025-07-07 12:25:54] SUCCESS: ✅ Successfully compressed category | Context: category=gcorrFactorWeightPublicFirm, original_words=8, compressed_words=6, reduction=25.0%, compressed_preview=GCorr factor weights for public firms...
[2025-07-07 12:25:54] INFO: Saving compressed description to NEW field | Context: category=gcorrFactorWeightPublicFirm, action=adding_compressed_description_field
[2025-07-07 12:25:55] SUCCESS: ✅ Database updated with compressed description | Context: category=gcorrFactorWeightPublicFirm, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:55] INFO: Processing batch | Context: batch_num=4, total_batches=17, batch_size=10
[2025-07-07 12:25:55] INFO: Compressing category | Context: category=gcorrSMEAssetRsquaredThreshold, original_words=14, original_preview=This category contains the size threshold for an SME firm and its asset rsquared...., display_name=GCorr SME Asset R-squared Threshold
[2025-07-07 12:25:56] SUCCESS: ✅ Successfully compressed category | Context: category=gcorrSMEAssetRsquaredThreshold, original_words=14, compressed_words=10, reduction=28.6%, compressed_preview=Size threshold for Small and Medium-sized Enterprise (SME) asset R-squared....
[2025-07-07 12:25:56] INFO: Saving compressed description to NEW field | Context: category=gcorrSMEAssetRsquaredThreshold, action=adding_compressed_description_field
[2025-07-07 12:25:58] SUCCESS: ✅ Database updated with compressed description | Context: category=gcorrSMEAssetRsquaredThreshold, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:25:58] INFO: Compressing category | Context: category=gcorrModelParameterPreset, original_words=17, original_preview=This category contains the preset GCorr recovery r-squared and asset recovery correlation when none ..., display_name=GCorr Model Parameter Preset
[2025-07-07 12:25:58] SUCCESS: ✅ Successfully compressed category | Context: category=gcorrModelParameterPreset, original_words=17, compressed_words=12, reduction=29.4%, compressed_preview=Stores preset GCorr recovery r-squared and asset recovery correlation when not provided....
[2025-07-07 12:25:58] INFO: Saving compressed description to NEW field | Context: category=gcorrModelParameterPreset, action=adding_compressed_description_field
[2025-07-07 12:26:00] SUCCESS: ✅ Database updated with compressed description | Context: category=gcorrModelParameterPreset, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:26:00] INFO: Compressing category | Context: category=riskCalcPD, original_words=13, original_preview=This category contains the expected default frequency (EDF) values from the RiskCalc model...., display_name=RiskCalc EDF
[2025-07-07 12:26:01] SUCCESS: ✅ Successfully compressed category | Context: category=riskCalcPD, original_words=13, compressed_words=8, reduction=38.5%, compressed_preview=Expected default frequency (EDF) values from RiskCalc model....
[2025-07-07 12:26:01] INFO: Saving compressed description to NEW field | Context: category=riskCalcPD, action=adding_compressed_description_field
[2025-07-07 12:26:02] SUCCESS: ✅ Database updated with compressed description | Context: category=riskCalcPD, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:26:02] INFO: Compressing category | Context: category=gcorrLambdaCofficient, original_words=8, original_preview=The GCorr lambda coefficients. Deprecated, please use gcorrLambdaCoefficient..., display_name=GCorr Lambda Coefficient - Legacy
[2025-07-07 12:26:03] SUCCESS: ✅ Successfully compressed category | Context: category=gcorrLambdaCofficient, original_words=8, compressed_words=6, reduction=25.0%, compressed_preview=GCorr lambda coefficients (deprecated); use gcorrLambdaCoefficient....
[2025-07-07 12:26:03] INFO: Saving compressed description to NEW field | Context: category=gcorrLambdaCofficient, action=adding_compressed_description_field
[2025-07-07 12:26:04] SUCCESS: ✅ Database updated with compressed description | Context: category=gcorrLambdaCofficient, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:26:04] INFO: Compressing category | Context: category=sovereignPDModel, original_words=12, original_preview=Contains the PDs for sovereigns derived from EDF models 9.1 and greater...., display_name=Sovereign PD Model
[2025-07-07 12:26:06] FAILURE: ❌ Category compression validation failed | Context: category=sovereignPDModel, original_words=12, compressed_result=Contains the PDs for sovereigns derived from EDF models 9.1 and greater...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 12:26:06] INFO: Compressing category | Context: category=instrumentReference, original_words=74, original_preview=This category describes contract-level data fields used for calculation and reporting purpose. Inclu..., display_name=Instrument Reference
[2025-07-07 12:26:07] SUCCESS: ✅ Successfully compressed category | Context: category=instrumentReference, original_words=74, compressed_words=42, reduction=43.2%, compressed_preview=Category for contract-level fields used in calculation and reporting: contractual terms (at originat...
[2025-07-07 12:26:07] INFO: Saving compressed description to NEW field | Context: category=instrumentReference, action=adding_compressed_description_field
[2025-07-07 12:26:09] SUCCESS: ✅ Database updated with compressed description | Context: category=instrumentReference, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:26:09] INFO: Compressing category | Context: category=instrumentRiskMetric, original_words=69, original_preview=This category describes contract-level risk metrics that can be imported and used for calculation an..., display_name=Instrument Risk Metric
[2025-07-07 12:26:10] SUCCESS: ✅ Successfully compressed category | Context: category=instrumentRiskMetric, original_words=69, compressed_words=41, reduction=40.6%, compressed_preview=Category for contract-level risk metrics imported as term structures for calculation and reporting. ...
[2025-07-07 12:26:10] INFO: Saving compressed description to NEW field | Context: category=instrumentRiskMetric, action=adding_compressed_description_field
[2025-07-07 12:26:11] SUCCESS: ✅ Database updated with compressed description | Context: category=instrumentRiskMetric, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:26:11] INFO: Compressing category | Context: category=gcorrCovarianceMatrix, original_words=20, original_preview=This category contains the covariance between GCorr factors for a specific GCorr model. Data is impo..., display_name=GCorr Covariance Matrix
[2025-07-07 12:26:12] SUCCESS: ✅ Successfully compressed category | Context: category=gcorrCovarianceMatrix, original_words=20, compressed_words=12, reduction=40.0%, compressed_preview=Covariance between GCorr factors for each GCorr model; data imported per model....
[2025-07-07 12:26:12] INFO: Saving compressed description to NEW field | Context: category=gcorrCovarianceMatrix, action=adding_compressed_description_field
[2025-07-07 12:26:14] SUCCESS: ✅ Database updated with compressed description | Context: category=gcorrCovarianceMatrix, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:26:14] INFO: Compressing category | Context: category=gcorrZMapping, original_words=19, original_preview=This category contains the mapping between the GCorr macroeconomic variable and Z. Data is imported ..., display_name=GCorr Z Mapping
[2025-07-07 12:26:14] SUCCESS: ✅ Successfully compressed category | Context: category=gcorrZMapping, original_words=19, compressed_words=10, reduction=47.4%, compressed_preview=Maps GCorr macroeconomic variable to Z for each GCorr model....
[2025-07-07 12:26:14] INFO: Saving compressed description to NEW field | Context: category=gcorrZMapping, action=adding_compressed_description_field
[2025-07-07 12:26:16] SUCCESS: ✅ Database updated with compressed description | Context: category=gcorrZMapping, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:26:16] INFO: Compressing category | Context: category=countryCreditTrend, original_words=16, original_preview=This category contains the credit trend at the country level. Data is imported for each month...., display_name=Country Credit Trend
[2025-07-07 12:26:16] SUCCESS: ✅ Successfully compressed category | Context: category=countryCreditTrend, original_words=16, compressed_words=6, reduction=62.5%, compressed_preview=Country-level credit trend category; updated monthly....
[2025-07-07 12:26:16] INFO: Saving compressed description to NEW field | Context: category=countryCreditTrend, action=adding_compressed_description_field
[2025-07-07 12:26:18] SUCCESS: ✅ Database updated with compressed description | Context: category=countryCreditTrend, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 12:26:18] INFO: Processing batch | Context: batch_num=5, total_batches=17, batch_size=10
[2025-07-07 12:26:18] INFO: Compressing category | Context: category=countryGroupCreditTrend, original_words=32, original_preview=This category contains the credit trend at the country group level. This credit trend is used when t..., display_name=Country Group Credit Trend
[2025-07-07 12:26:19] SUCCESS: ✅ Successfully compressed category | Context: category=countryGroupCreditTrend, original_words=32, compressed_words=13, reduction=59.4%, compressed_preview=Credit trend at country group level, used when country-level data unavailable; imported monthly....
[2025-07-07 12:26:19] INFO: Saving compressed description to NEW field | Context: category=countryGroupCreditTrend, action=adding_compressed_description_field
