[2025-07-07 11:23:31] SECTION: 
==================================================
COMPRESSION PROCESS STARTED
==================================================
[2025-07-07 11:23:31] INFO: Process configuration | Context: batch_size=10, dry_run=False, model=gpt-4.1
[2025-07-07 11:23:43] INFO: Compressing attribute | Context: attribute=rSquaredValuation, original_words=2, original_preview=Valuation R-squared...., data_type=Decimal, display_name=R-Squared Valuation
[2025-07-07 11:23:43] FAILURE: ❌ Compression validation failed | Context: attribute=rSquaredValuation, original_words=2, compressed_result=Valuation R-squared...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:43] INFO: Compressing attribute | Context: attribute=accountName, original_words=5, original_preview=The name of the account...., data_type=String, display_name=Account Name
[2025-07-07 11:23:43] FAILURE: ❌ Compression validation failed | Context: attribute=accountName, original_words=5, compressed_result=The name of the account...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:43] INFO: Compressing attribute | Context: attribute=gcorrFactorType, original_words=6, original_preview=The type of the GCorr factor...., data_type=String, display_name=GCorr Factor Type
[2025-07-07 11:23:43] SUCCESS: ✅ Successfully compressed attribute | Context: attribute=gcorrFactorType, original_words=6, compressed_words=4, reduction=33.3%, compressed_preview=Type of GCorr factor...
[2025-07-07 11:23:43] INFO: Saving compressed description to NEW field | Context: attribute=gcorrFactorType, action=adding_compressed_description_field
[2025-07-07 11:23:45] SUCCESS: ✅ Database updated with compressed description | Context: attribute=gcorrFactorType, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 11:23:45] INFO: Compressing attribute | Context: attribute=lag3, original_words=5, original_preview=A coefficient for the lag...., data_type=Decimal, display_name=Lag 3
[2025-07-07 11:23:45] FAILURE: ❌ Compression validation failed | Context: attribute=lag3, original_words=5, compressed_result=A coefficient for the lag...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:45] INFO: Compressing attribute | Context: attribute=lag1, original_words=5, original_preview=A coefficient for the lag...., data_type=Decimal, display_name=Lag 1
[2025-07-07 11:23:45] FAILURE: ❌ Compression validation failed | Context: attribute=lag1, original_words=5, compressed_result=A coefficient for the lag...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:45] INFO: Compressing attribute | Context: attribute=lag0, original_words=5, original_preview=A coefficient for the lag...., data_type=Decimal, display_name=Lag 0
[2025-07-07 11:23:45] FAILURE: ❌ Compression validation failed | Context: attribute=lag0, original_words=5, compressed_result=A coefficient for the lag...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:45] INFO: Compressing attribute | Context: attribute=industryIdentifier, original_words=5, original_preview=The identifier of the industry...., data_type=String, display_name=Industry Identifier
[2025-07-07 11:23:45] FAILURE: ❌ Compression validation failed | Context: attribute=industryIdentifier, original_words=5, compressed_result=The identifier of the industry...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:45] INFO: Compressing attribute | Context: attribute=lossAllowanceAdjusted, original_words=5, original_preview=The allowance after applying adjustments...., data_type=Amount, display_name=Allowance Amount Adjusted
[2025-07-07 11:23:45] FAILURE: ❌ Compression validation failed | Context: attribute=lossAllowanceAdjusted, original_words=5, compressed_result=The allowance after applying adjustments...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:45] INFO: Compressing attribute | Context: attribute=adjustmentIdentifier, original_words=4, original_preview=Identifier for the adjustment...., data_type=String, display_name=Adjustment Identifier
[2025-07-07 11:23:45] FAILURE: ❌ Compression validation failed | Context: attribute=adjustmentIdentifier, original_words=4, compressed_result=Identifier for the adjustment...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:45] INFO: Compressing attribute | Context: attribute=lgdModelName, original_words=10, original_preview=The name of the model used to calculate the LGD...., data_type=String, display_name=LGD Model
[2025-07-07 11:23:46] FAILURE: ❌ Compression validation failed | Context: attribute=lgdModelName, original_words=10, compressed_result=The name of the model used to calculate the LGD...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:46] INFO: Processing batch | Context: batch_num=3, total_batches=176, batch_size=10
[2025-07-07 11:23:46] INFO: Compressing attribute | Context: attribute=importSource, original_words=5, original_preview=Import source of the data...., data_type=String, display_name=Import Source
[2025-07-07 11:23:46] FAILURE: ❌ Compression validation failed | Context: attribute=importSource, original_words=5, compressed_result=Import source of the data...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:46] INFO: Compressing attribute | Context: attribute=interceptFinancialJ, original_words=7, original_preview=The intercept for Japanese public financial firms...., data_type=Decimal, display_name=Intercept for Public Financial Firms in Japan
[2025-07-07 11:23:46] SUCCESS: ✅ Successfully compressed attribute | Context: attribute=interceptFinancialJ, original_words=7, compressed_words=6, reduction=14.3%, compressed_preview=Intercept for Japanese public financial firms...
[2025-07-07 11:23:46] INFO: Saving compressed description to NEW field | Context: attribute=interceptFinancialJ, action=adding_compressed_description_field
[2025-07-07 11:23:48] SUCCESS: ✅ Database updated with compressed description | Context: attribute=interceptFinancialJ, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 11:23:48] INFO: Compressing attribute | Context: attribute=ratingPDMapIdentifier, original_words=7, original_preview=The identifier of the rating PD map...., data_type=String, display_name=Rating PD Map Identifier
[2025-07-07 11:23:49] FAILURE: ❌ Compression validation failed | Context: attribute=ratingPDMapIdentifier, original_words=7, compressed_result=The identifier of the rating PD map...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:49] INFO: Compressing attribute | Context: attribute=interestLossAmount, original_words=5, original_preview=The amount of interest loss...., data_type=Amount, display_name=Interest Loss Amount
[2025-07-07 11:23:49] FAILURE: ❌ Compression validation failed | Context: attribute=interestLossAmount, original_words=5, compressed_result=The amount of interest loss...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:49] INFO: Compressing attribute | Context: attribute=eadOrder, original_words=6, original_preview=The order for the EAD scope...., data_type=Integer, display_name=EAD Order
[2025-07-07 11:23:49] FAILURE: ❌ Compression validation failed | Context: attribute=eadOrder, original_words=6, compressed_result=The order for the EAD scope...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:49] INFO: Compressing attribute | Context: attribute=modelOutput, original_words=61, original_preview=The output of the model. Valid values are: CCF, Collateral, Contractual Cash Flow, EAD, ECL Amount, ..., data_type=String, display_name=Model Output
[2025-07-07 11:23:51] FAILURE: ❌ Compression validation failed | Context: attribute=modelOutput, original_words=61, compressed_result=The output of the model. Valid values are: CCF, Collateral, Contractual Cash Flow, EAD, ECL Amount, ..., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:51] INFO: Compressing attribute | Context: attribute=ficoScoreInitial, original_words=7, original_preview=The borrower's FICO credit score at origination...., data_type=Integer, display_name=FICO Score Initial
[2025-07-07 11:23:51] FAILURE: ❌ Compression validation failed | Context: attribute=ficoScoreInitial, original_words=7, compressed_result=The borrower's FICO credit score at origination...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:51] INFO: Compressing attribute | Context: attribute=scenarioDescription, original_words=5, original_preview=The description for the scenario...., data_type=String, display_name=Scenario Description
[2025-07-07 11:23:51] FAILURE: ❌ Compression validation failed | Context: attribute=scenarioDescription, original_words=5, compressed_result=The description for the scenario...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:51] INFO: Compressing attribute | Context: attribute=internalRating, original_words=3, original_preview=The internal rating...., data_type=String, display_name=Internal Rating
[2025-07-07 11:23:51] FAILURE: ❌ Compression validation failed | Context: attribute=internalRating, original_words=3, compressed_result=The internal rating...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:51] INFO: Compressing attribute | Context: attribute=interceptJ, original_words=7, original_preview=The intercept for Japanese public corporate firms...., data_type=Decimal, display_name=Intercept for Public Corporate Firms in Japan
[2025-07-07 11:23:52] SUCCESS: ✅ Successfully compressed attribute | Context: attribute=interceptJ, original_words=7, compressed_words=6, reduction=14.3%, compressed_preview=Intercept for Japanese public corporate firms...
[2025-07-07 11:23:52] INFO: Saving compressed description to NEW field | Context: attribute=interceptJ, action=adding_compressed_description_field
[2025-07-07 11:23:54] SUCCESS: ✅ Database updated with compressed description | Context: attribute=interceptJ, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 11:23:54] INFO: Processing batch | Context: batch_num=4, total_batches=176, batch_size=10
[2025-07-07 11:23:54] INFO: Compressing attribute | Context: attribute=prepaymentAmount, original_words=5, original_preview=The amount accounted for prepayment...., data_type=Amount, display_name=Prepayment Amount
[2025-07-07 11:23:54] FAILURE: ❌ Compression validation failed | Context: attribute=prepaymentAmount, original_words=5, compressed_result=The amount accounted for prepayment...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:54] INFO: Compressing attribute | Context: attribute=principalRecoveryAmount, original_words=5, original_preview=The amount of principal recovered...., data_type=Amount, display_name=Principal Recovery Amount
[2025-07-07 11:23:54] FAILURE: ❌ Compression validation failed | Context: attribute=principalRecoveryAmount, original_words=5, compressed_result=The amount of principal recovered...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:54] INFO: Compressing attribute | Context: attribute=netBalance, original_words=4, original_preview=Amortized cost less allowance...., data_type=Amount, display_name=Net Balance
[2025-07-07 11:23:54] FAILURE: ❌ Compression validation failed | Context: attribute=netBalance, original_words=4, compressed_result=Amortized cost less allowance...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:54] INFO: Compressing attribute | Context: attribute=pdModelSegment, original_words=6, original_preview=The segment for the PD output...., data_type=String, display_name=PD Model Segment
[2025-07-07 11:23:54] FAILURE: ❌ Compression validation failed | Context: attribute=pdModelSegment, original_words=6, compressed_result=The segment for the PD output...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:54] INFO: Compressing attribute | Context: attribute=lgdModelSegment, original_words=6, original_preview=The segment for the LGD output...., data_type=String, display_name=LGD Model Segment
[2025-07-07 11:23:55] FAILURE: ❌ Compression validation failed | Context: attribute=lgdModelSegment, original_words=6, compressed_result=The segment for the LGD output...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:55] INFO: Compressing attribute | Context: attribute=offBalanceSheetEADSource, original_words=22, original_preview=Indicates the EAD source for the off balance sheet item. Valid values are CCF Model, Instrument CCF,..., data_type=String, display_name=Off Balance Sheet EAD Source
[2025-07-07 11:23:56] FAILURE: ❌ Compression validation failed | Context: attribute=offBalanceSheetEADSource, original_words=22, compressed_result=Indicates the EAD source for the off balance sheet item. Valid values are CCF Model, Instrument CCF,..., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:56] INFO: Compressing attribute | Context: attribute=reinvestmentAmount, original_words=3, original_preview=The amount reinvested...., data_type=Amount, display_name=Reinvestment Amount
[2025-07-07 11:23:56] FAILURE: ❌ Compression validation failed | Context: attribute=reinvestmentAmount, original_words=3, compressed_result=The amount reinvested...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:56] INFO: Compressing attribute | Context: attribute=modelFactor, original_words=17, original_preview=The reference of the macroeconomic variable within a model. Used to pass data to models in CAP...., data_type=String, display_name=Model Factor
[2025-07-07 11:23:57] SUCCESS: ✅ Successfully compressed attribute | Context: attribute=modelFactor, original_words=17, compressed_words=15, reduction=11.8%, compressed_preview=Reference for macroeconomic variable in model; passes data to models in Capital Adequacy Process (CA...
[2025-07-07 11:23:57] INFO: Saving compressed description to NEW field | Context: attribute=modelFactor, action=adding_compressed_description_field
[2025-07-07 11:23:59] SUCCESS: ✅ Database updated with compressed description | Context: attribute=modelFactor, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 11:23:59] INFO: Compressing attribute | Context: attribute=offBalanceSheetEADModelSegment, original_words=6, original_preview=The segment for the EAD output...., data_type=String, display_name=Off Balance Sheet EAD Model Segment
[2025-07-07 11:23:59] FAILURE: ❌ Compression validation failed | Context: attribute=offBalanceSheetEADModelSegment, original_words=6, compressed_result=The segment for the EAD output...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:23:59] INFO: Compressing attribute | Context: attribute=offBalanceSheetEADModelMacroeconomicVariableSet, original_words=14, original_preview=The macroeconomic variable set of the EAD model with the off balance sheet item...., data_type=String, display_name=Off Balance Sheet EAD Model Macroeconomic Variable Set
[2025-07-07 11:24:00] FAILURE: ❌ Compression validation failed | Context: attribute=offBalanceSheetEADModelMacroeconomicVariableSet, original_words=14, compressed_result=The macroeconomic variable set of the EAD model with the off balance sheet item...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:00] INFO: Processing batch | Context: batch_num=5, total_batches=176, batch_size=10
[2025-07-07 11:24:00] INFO: Compressing attribute | Context: attribute=relSensTotalSalesGrowth5Y, original_words=23, original_preview=The probability of default (PD) sensitivity to the Total Sales(t)/Total Sales(t-1)-1 over five years..., data_type=Decimal, display_name=Relative Sensitivity Total Sales Growth 5 Years
[2025-07-07 11:24:01] SUCCESS: ✅ Successfully compressed attribute | Context: attribute=relSensTotalSalesGrowth5Y, original_words=23, compressed_words=17, reduction=26.1%, compressed_preview=Probability of default (PD) sensitivity to five-year Total Sales growth rate, in decimal (e.g., 10% ...
[2025-07-07 11:24:01] INFO: Saving compressed description to NEW field | Context: attribute=relSensTotalSalesGrowth5Y, action=adding_compressed_description_field
[2025-07-07 11:24:03] SUCCESS: ✅ Database updated with compressed description | Context: attribute=relSensTotalSalesGrowth5Y, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 11:24:03] INFO: Compressing attribute | Context: attribute=lossAmountRemaining, original_words=5, original_preview=The principal loss amount remaining...., data_type=Amount, display_name=Loss Amount Remaining
[2025-07-07 11:24:03] FAILURE: ❌ Compression validation failed | Context: attribute=lossAmountRemaining, original_words=5, compressed_result=The principal loss amount remaining...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:03] INFO: Compressing attribute | Context: attribute=relSensTotalSalesGrowth1Y, original_words=23, original_preview=The probability of default (PD) sensitivity to the Total Sales(t)/Total Sales(t-1)-1 over one year. ..., data_type=Decimal, display_name=Relative Sensitivity Total Sales Growth 1 Year
[2025-07-07 11:24:04] FAILURE: ❌ Compression validation failed | Context: attribute=relSensTotalSalesGrowth1Y, original_words=23, compressed_result=The probability of default (PD) sensitivity to the Total Sales(t)/Total Sales(t-1)-1 over one year. ..., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:04] INFO: Compressing attribute | Context: attribute=sovereignName, original_words=5, original_preview=The name of the sovereign...., data_type=String, display_name=Sovereign Name
[2025-07-07 11:24:04] FAILURE: ❌ Compression validation failed | Context: attribute=sovereignName, original_words=5, compressed_result=The name of the sovereign...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:04] INFO: Compressing attribute | Context: attribute=pid, original_words=5, original_preview=The Moody's Analytics counterparty identifier...., data_type=String, display_name=PID
[2025-07-07 11:24:04] FAILURE: ❌ Compression validation failed | Context: attribute=pid, original_words=5, compressed_result=The Moody's Analytics counterparty identifier...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:04] INFO: Compressing attribute | Context: attribute=stageOrder, original_words=9, original_preview=The order for the stage allocation scope for IFRS9...., data_type=Integer, display_name=Stage Allocation Order
[2025-07-07 11:24:05] FAILURE: ❌ Compression validation failed | Context: attribute=stageOrder, original_words=9, compressed_result=The order for the stage allocation scope for IFRS9...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:05] INFO: Compressing attribute | Context: attribute=stageScope, original_words=12, original_preview=The scope for which the stage allocation for IFRS9 rule is applied...., data_type=String, display_name=Stage Allocation Scope
[2025-07-07 11:24:06] SUCCESS: ✅ Successfully compressed attribute | Context: attribute=stageScope, original_words=12, compressed_words=8, reduction=33.3%, compressed_preview=Scope where stage allocation for IFRS9 rule applies....
[2025-07-07 11:24:06] INFO: Saving compressed description to NEW field | Context: attribute=stageScope, action=adding_compressed_description_field
[2025-07-07 11:24:08] SUCCESS: ✅ Database updated with compressed description | Context: attribute=stageScope, original_kept=YES - original description preserved, new_field=description_compressed
[2025-07-07 11:24:08] INFO: Compressing attribute | Context: attribute=pdBasedTemplateIdentifier, original_words=11, original_preview=The name of the PD-based template for stage allocation for IFRS9...., data_type=String, display_name=PD-Based Template
[2025-07-07 11:24:09] FAILURE: ❌ Compression validation failed | Context: attribute=pdBasedTemplateIdentifier, original_words=11, compressed_result=The name of the PD-based template for stage allocation for IFRS9...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:09] INFO: Compressing attribute | Context: attribute=digit, original_words=8, original_preview=The number of digits in the NAICS code...., data_type=Integer, display_name=Digit
[2025-07-07 11:24:09] FAILURE: ❌ Compression validation failed | Context: attribute=digit, original_words=8, compressed_result=The number of digits in the NAICS code...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:09] INFO: Compressing attribute | Context: attribute=edfModelIdentifier, original_words=10, original_preview=Indicates which EDF model from which this data is derived...., data_type=String, display_name=EDF Model
[2025-07-07 11:24:09] FAILURE: ❌ Compression validation failed | Context: attribute=edfModelIdentifier, original_words=10, compressed_result=Indicates which EDF model from which this data is derived...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:09] INFO: Processing batch | Context: batch_num=6, total_batches=176, batch_size=10
[2025-07-07 11:24:09] INFO: Compressing attribute | Context: attribute=moodysSecurityIdentifier, original_words=4, original_preview=The Moody's instrument identifier...., data_type=String, display_name=Moody's Security Identifier
[2025-07-07 11:24:09] FAILURE: ❌ Compression validation failed | Context: attribute=moodysSecurityIdentifier, original_words=4, compressed_result=The Moody's instrument identifier...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:09] INFO: Compressing attribute | Context: attribute=N01, original_words=5, original_preview=The weight for NDY N01...., data_type=Decimal, display_name=N01
[2025-07-07 11:24:09] FAILURE: ❌ Compression validation failed | Context: attribute=N01, original_words=5, compressed_result=The weight for NDY N01...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:09] INFO: Compressing attribute | Context: attribute=N02, original_words=5, original_preview=The weight for NDY N02...., data_type=Decimal, display_name=N02
[2025-07-07 11:24:09] FAILURE: ❌ Compression validation failed | Context: attribute=N02, original_words=5, compressed_result=The weight for NDY N02...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:09] INFO: Compressing attribute | Context: attribute=N05, original_words=5, original_preview=The weight for NDY N05...., data_type=Decimal, display_name=N05
[2025-07-07 11:24:09] FAILURE: ❌ Compression validation failed | Context: attribute=N05, original_words=5, compressed_result=The weight for NDY N05...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:09] INFO: Compressing attribute | Context: attribute=N07, original_words=5, original_preview=The weight for NDY N07...., data_type=Decimal, display_name=N07
[2025-07-07 11:24:09] FAILURE: ❌ Compression validation failed | Context: attribute=N07, original_words=5, compressed_result=The weight for NDY N07...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:09] INFO: Compressing attribute | Context: attribute=N12, original_words=5, original_preview=The weight for NDY N12...., data_type=Decimal, display_name=N12
[2025-07-07 11:24:09] FAILURE: ❌ Compression validation failed | Context: attribute=N12, original_words=5, compressed_result=The weight for NDY N12...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Compressing attribute | Context: attribute=N17, original_words=5, original_preview=The weight for NDY N17...., data_type=Decimal, display_name=N17
[2025-07-07 11:24:10] FAILURE: ❌ Compression validation failed | Context: attribute=N17, original_words=5, compressed_result=The weight for NDY N17...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Compressing attribute | Context: attribute=N20, original_words=5, original_preview=The weight for NDY N20...., data_type=Decimal, display_name=N20
[2025-07-07 11:24:10] FAILURE: ❌ Compression validation failed | Context: attribute=N20, original_words=5, compressed_result=The weight for NDY N20...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Compressing attribute | Context: attribute=N24, original_words=5, original_preview=The weight for NDY N24...., data_type=Decimal, display_name=N24
[2025-07-07 11:24:10] FAILURE: ❌ Compression validation failed | Context: attribute=N24, original_words=5, compressed_result=The weight for NDY N24...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Compressing attribute | Context: attribute=N25, original_words=5, original_preview=The weight for NDY N25...., data_type=Decimal, display_name=N25
[2025-07-07 11:24:10] FAILURE: ❌ Compression validation failed | Context: attribute=N25, original_words=5, compressed_result=The weight for NDY N25...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Processing batch | Context: batch_num=7, total_batches=176, batch_size=10
[2025-07-07 11:24:10] INFO: Compressing attribute | Context: attribute=N27, original_words=5, original_preview=The weight for NDY N27...., data_type=Decimal, display_name=N27
[2025-07-07 11:24:10] FAILURE: ❌ Compression validation failed | Context: attribute=N27, original_words=5, compressed_result=The weight for NDY N27...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Compressing attribute | Context: attribute=N28, original_words=5, original_preview=The weight for NDY N28...., data_type=Decimal, display_name=N28
[2025-07-07 11:24:10] FAILURE: ❌ Compression validation failed | Context: attribute=N28, original_words=5, compressed_result=The weight for NDY N28...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Compressing attribute | Context: attribute=N32, original_words=5, original_preview=The weight for NDY N32...., data_type=Decimal, display_name=N32
[2025-07-07 11:24:10] FAILURE: ❌ Compression validation failed | Context: attribute=N32, original_words=5, compressed_result=The weight for NDY N32...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Compressing attribute | Context: attribute=N36, original_words=5, original_preview=The weight for NDY N36...., data_type=Decimal, display_name=N36
[2025-07-07 11:24:10] FAILURE: ❌ Compression validation failed | Context: attribute=N36, original_words=5, compressed_result=The weight for NDY N36...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Compressing attribute | Context: attribute=N37, original_words=5, original_preview=The weight for NDY N37...., data_type=Decimal, display_name=N37
[2025-07-07 11:24:10] FAILURE: ❌ Compression validation failed | Context: attribute=N37, original_words=5, compressed_result=The weight for NDY N37...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Compressing attribute | Context: attribute=N38, original_words=5, original_preview=The weight for NDY N38...., data_type=Decimal, display_name=N38
[2025-07-07 11:24:10] FAILURE: ❌ Compression validation failed | Context: attribute=N38, original_words=5, compressed_result=The weight for NDY N38...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Compressing attribute | Context: attribute=N41, original_words=5, original_preview=The weight for NDY N41...., data_type=Decimal, display_name=N41
[2025-07-07 11:24:10] FAILURE: ❌ Compression validation failed | Context: attribute=N41, original_words=5, compressed_result=The weight for NDY N41...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Compressing attribute | Context: attribute=N42, original_words=5, original_preview=The weight for NDY N42...., data_type=Decimal, display_name=N42
[2025-07-07 11:24:10] FAILURE: ❌ Compression validation failed | Context: attribute=N42, original_words=5, compressed_result=The weight for NDY N42...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Compressing attribute | Context: attribute=N45, original_words=5, original_preview=The weight for NDY N45...., data_type=Decimal, display_name=N45
[2025-07-07 11:24:10] FAILURE: ❌ Compression validation failed | Context: attribute=N45, original_words=5, compressed_result=The weight for NDY N45...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Compressing attribute | Context: attribute=N47, original_words=5, original_preview=The weight for NDY N47...., data_type=Decimal, display_name=N47
[2025-07-07 11:24:10] FAILURE: ❌ Compression validation failed | Context: attribute=N47, original_words=5, compressed_result=The weight for NDY N47...., issues=[None, 'No change', 'Not shorter']
[2025-07-07 11:24:10] INFO: Processing batch | Context: batch_num=8, total_batches=176, batch_size=10
